n:39 mse_avg:78.45 mse_y:88.76 mse_u:63.29 mse_v:52.35 psnr_avg:29.19 psnr_y:28.65 psnr_u:30.12 psnr_v:30.94 
n:40 mse_avg:78.24 mse_y:88.42 mse_u:63.37 mse_v:52.42 psnr_avg:29.20 psnr_y:28.67 psnr_u:30.11 psnr_v:30.94 
n:41 mse_avg:80.14 mse_y:91.34 mse_u:62.60 mse_v:52.89 psnr_avg:29.09 psnr_y:28.52 psnr_u:30.17 psnr_v:30.90 
n:42 mse_avg:81.09 mse_y:92.73 mse_u:62.85 mse_v:52.75 psnr_avg:29.04 psnr_y:28.46 psnr_u:30.15 psnr_v:30.91 
n:43 mse_avg:83.57 mse_y:95.72 mse_u:63.92 mse_v:54.62 psnr_avg:28.91 psnr_y:28.32 psnr_u:30.07 psnr_v:30.76 
n:44 mse_avg:83.92 mse_y:96.15 mse_u:64.06 mse_v:54.85 psnr_avg:28.89 psnr_y:28.30 psnr_u:30.06 psnr_v:30.74 
n:45 mse_avg:83.81 mse_y:95.72 mse_u:63.99 mse_v:56.03 psnr_avg:28.90 psnr_y:28.32 psnr_u:30.07 psnr_v:30.65 
n:46 mse_avg:85.37 mse_y:97.92 mse_u:64.24 mse_v:56.31 psnr_avg:28.82 psnr_y:28.22 psnr_u:30.05 psnr_v:30.62 
n:47 mse_avg:85.27 mse_y:97.65 mse_u:64.11 mse_v:56.92 psnr_avg:28.82 psnr_y:28.23 psnr_u:30.06 psnr_v:30.58 
n:48 mse_avg:85.87 mse_y:98.40 mse_u:64.00 mse_v:57.65 psnr_avg:28.79 psnr_y:28.20 psnr_u:30.07 psnr_v:30.52 
n:49 mse_avg:86.84 mse_y:99.56 mse_u:64.73 mse_v:58.09 psnr_avg:28.74 psnr_y:28.15 psnr_u:30.02 psnr_v:30.49 
n:50 mse_avg:87.03 mse_y:100.26 mse_u:64.39 mse_v:56.74 psnr_avg:28.73 psnr_y:28.12 psnr_u:30.04 psnr_v:30.59 
n:51 mse_avg:87.18 mse_y:100.73 mse_u:64.36 mse_v:55.82 psnr_avg:28.73 psnr_y:28.10 psnr_u:30.04 psnr_v:30.66 
n:52 mse_avg:88.17 mse_y:102.28 mse_u:64.40 mse_v:55.52 psnr_avg:28.68 psnr_y:28.03 psnr_u:30.04 psnr_v:30.69 
