n:39 mse_avg:768.80 mse_y:1147.45 mse_u:11.52 mse_v:11.47 psnr_avg:19.27 psnr_y:17.53 psnr_u:37.52 psnr_v:37.54 
n:40 mse_avg:828.41 mse_y:1236.28 mse_u:12.60 mse_v:12.76 psnr_avg:18.95 psnr_y:17.21 psnr_u:37.13 psnr_v:37.07 
n:41 mse_avg:842.65 mse_y:1257.62 mse_u:12.73 mse_v:12.68 psnr_avg:18.87 psnr_y:17.14 psnr_u:37.08 psnr_v:37.10 
n:42 mse_avg:839.00 mse_y:1252.25 mse_u:12.34 mse_v:12.64 psnr_avg:18.89 psnr_y:17.15 psnr_u:37.22 psnr_v:37.11 
n:43 mse_avg:859.28 mse_y:1282.44 mse_u:12.69 mse_v:13.27 psnr_avg:18.79 psnr_y:17.05 psnr_u:37.10 psnr_v:36.90 
n:44 mse_avg:872.82 mse_y:1302.67 mse_u:12.72 mse_v:13.51 psnr_avg:18.72 psnr_y:16.98 psnr_u:37.08 psnr_v:36.82 
n:45 mse_avg:880.72 mse_y:1314.40 mse_u:13.02 mse_v:13.71 psnr_avg:18.68 psnr_y:16.94 psnr_u:36.98 psnr_v:36.76 
n:46 mse_avg:898.39 mse_y:1340.67 mse_u:13.42 mse_v:14.22 psnr_avg:18.60 psnr_y:16.86 psnr_u:36.85 psnr_v:36.60 
n:47 mse_avg:914.91 mse_y:1365.25 mse_u:13.68 mse_v:14.81 psnr_avg:18.52 psnr_y:16.78 psnr_u:36.77 psnr_v:36.43 
n:48 mse_avg:917.76 mse_y:1369.40 mse_u:13.70 mse_v:15.28 psnr_avg:18.50 psnr_y:16.77 psnr_u:36.76 psnr_v:36.29 
n:49 mse_avg:922.18 mse_y:1375.50 mse_u:14.74 mse_v:16.33 psnr_avg:18.48 psnr_y:16.75 psnr_u:36.45 psnr_v:36.00 
n:50 mse_avg:922.41 mse_y:1375.78 mse_u:14.85 mse_v:16.45 psnr_avg:18.48 psnr_y:16.75 psnr_u:36.41 psnr_v:35.97 
n:51 mse_avg:919.26 mse_y:1370.99 mse_u:15.05 mse_v:16.56 psnr_avg:18.50 psnr_y:16.76 psnr_u:36.36 psnr_v:35.94 
n:52 mse_avg:959.27 mse_y:1430.53 mse_u:16.06 mse_v:17.45 psnr_avg:18.31 psnr_y:16.58 psnr_u:36.07 psnr_v:35.71 
n:53 mse_avg:983.12 mse_y:1466.10 mse_u:16.56 mse_v:17.78 psnr_avg:18.20 psnr_y:16.47 psnr_u:35.94 psnr_v:35.63 
n:54 mse_avg:995.67 mse_y:1484.91 mse_u:16.50 mse_v:17.89 psnr_avg:18.15 psnr_y:16.41 psnr_u:35.96 psnr_v:35.61 
n:55 mse_avg:1076.16 mse_y:1604.80 mse_u:17.97 mse_v:19.77 psnr_avg:17.81 psnr_y:16.08 psnr_u:35.58 psnr_v:35.17 
n:56 mse_avg:1120.20 mse_y:1670.41 mse_u:18.62 mse_v:20.97 psnr_avg:17.64 psnr_y:15.90 psnr_u:35.43 psnr_v:34.92 
n:57 mse_avg:1116.74 mse_y:1665.12 mse_u:18.72 mse_v:21.22 psnr_avg:17.65 psnr_y:15.92 psnr_u:35.41 psnr_v:34.86 
